n 1011+4315 3.10  2.9587      deghlmsu        2.475 1.706* 
n 1055+4611 4.12  3.3172      dgl             2.706 5.677  
n 1107+4847 2.97  0.80757     abcpq           1.199 1.222  
n 1107+4847 2.97  0.86182     abcqr          -2.030 1.632  
n 1107+4847 2.97  1.0158      abcp           -2.086 0.934  
n 1132+2243 2.88  2.1053      defgl           6.323 3.622  
n 1202-0725 4.70  1.7549      bcqr           -1.465 2.182  
n 1206+4557 1.16  0.92741     abcnopqr       -0.275 0.776  
n 1223+1753 2.94  2.4653      hijkmsuvw       1.635 1.919  
n 1223+1753 2.94  2.5577      dglnp           0.546 1.199  
n 1225+3145 2.22  1.7954      defghl          1.352 1.388  
n 1244+3142 2.95  0.85048     bcpr           -6.897 7.012  
n 1244+3142 2.95  2.7504      dgl             2.414 4.110  
n 1307+4617 2.13  0.22909     abcr            2.551 5.392  
n 1337+1121 2.97  2.7955      dhl             4.103 8.538  
n 1425+6039 3.20  2.7698      dgl            -0.688 1.843  
n 1425+6039 3.20  2.8268      dgl             0.433 0.827  
n 1437+3007 3.00  1.2259      abcnopqr        0.308 1.460  
n 1442+2931 2.76  2.4389      dgl            -0.882 1.473  
n 1549+1919 2.83  1.1425      cfnpqr         -0.076 0.671  
n 1549+1919 2.83  1.3422      nopq           -0.740 1.232  
n 1549+1919 2.83  1.8024      def            -3.050 2.473  
n 1626+6433 2.32  0.58596     bcr            -1.977 4.529  
n 1626+6433 2.32  2.1102      defgl          -0.705 1.068  
n 1634+7037 1.34  0.99010     abcdnopqr      -2.194 1.343  
n 1850+4015 2.12  1.9900      ghijklmnopqrvw -1.663 0.859* 
n 1946+7658 3.02  1.7385      efhijmntu      -0.212 1.857  
n 1946+7658 3.02  2.8433      dgl            -4.743 1.289  
n 2145+0643 1.00  0.79026     bcnopqr         0.087 0.589  
n 2206-1958 2.56  1.0172      abcqr           1.354 0.883  
n 2206-1958 2.56  2.0762      dl              1.429 3.022  
n 2231-0015 3.02  1.2128      abcopqr         1.223 1.465  
n 2231-0015 3.02  2.0653      efghijklmstuvw  1.707 1.249* 
n 2231-0015 3.02  2.6532      dglstu         -3.348 1.904* 
n 2233+1310 3.30  2.5480      dgl             2.942 5.207  
n 2233+1310 3.30  2.5548      defgl           1.732 6.349  
n 2233+1310 3.30  3.1513      dgl            -4.005 3.301  
n 2343+1232 2.52  0.73117     abcoqr         -1.211 0.975  
n 2343+1232 2.52  1.5899      acdefgqr        0.453 1.187  
n 2343+1232 2.52  2.1711      cdefnp         -0.961 1.295  
n 2343+1232 2.52  2.4300      dgijklnqrstuvw -1.224 0.389* 
n 2344+1228 2.77  1.0465      abcinopqr      -0.747 1.530  
n 2344+1228 2.77  1.1161      abcopqr         0.009 1.963  
n 2344+1228 2.77  2.5378      dgl            -3.205 2.094  
